OrderDate,Order,AssetName,AssetDescription,WorkDescription,ReportedDate,RequiredByDate,PlannedDurationHrs,ActualStartDateTime,ActualEndDateTime,Duration,WorkType,SystemType,WorkStatus,FailureType,RemedyType,ParentLocation,ReferenceReport,MonthY,WorkPriority,OffshoreReport,Month Name,Year
17/04/2025 10:58,WO-CBM_100539,ABB,CMB System for Planned Maint.,ABB - Pre-berthing checks,,16/04/2025,1,16/04/2025 07:15,16/04/2025 08:30,1.25,Inspection,Mooring System,Completed,,,ABB_Offshore,DPR 2929,2025-04 (Apr),P1 - High,,April,2025
16/04/2025 15:58,WO-W_SHOP_200062,GPMS-W-SHOP,GPMS Maintenance Workshop & Warehouse,Fabrication of plumb weight for SPM,,27/04/2025,3,15/04/2025 15:00,18/04/2025 16:30,73.5,Planned Corrective Maint.,Anchoring System,Completed,,,W_Shop,,2025-04 (Apr),P2 - Medium,,April,2025
16/04/2025 10:59,WO-SPM_200094,SPM-AE-BY-02,CALM Buoy - CO760,Installation of Fender on SPM2 at Berth 16,,20/04/2025,2,15/04/2025 15:00,15/04/2025 16:00,1,Planned Corrective Maint.,Buoy Body,Completed,,,SPM_Offshore,,2025-04 (Apr),P2 - Medium,,April,2025
16/04/2025 10:56,WO-SPM-CBM_200013,ABB/SPM_Onshore,Onshore ABB_SPM System for Planned Maintenance,Valve Fabric Maintenance - Gao Lagoon Station,,20/04/2025,24,17/04/2025 10:30,17/04/2025 13:00,2.5,Planned Corrective Maint.,Valve,Completed,,,ABB_SPM_Onshore,,2025-04 (Apr),P2 - Medium,,April,2025
16/04/2025 10:53,WO-SPM-CBM_100087,ABB/SPM_Onshore,Onshore ABB_SPM System for Planned Maintenance,Weekly Servitude Walk / Pipeline Inspection,,20/04/2025,2,16/04/2025 09:30,16/04/2025 12:30,3,Planned Maint.,Piping,Completed,,,ABB_SPM_Onshore,,2025-04 (Apr),P2 - Medium,,April,2025
16/04/2025 10:51,WO-W_SHOP_100166,COMP-02,Air Compressor - Bauer Mariner 320-B,Weekly Inspection,,20/04/2025,0.5,17/04/2025 16:00,17/04/2025 16:30,0.5,Planned Maint.,Engine,Completed,,,W_Shop,,2025-04 (Apr),P2 - Medium,,April,2025
16/04/2025 10:50,WO-W_SHOP_100165,COMP-01,Air Compressor - KOTECH,Weekly Inspection,,20/04/2025,0.5,14/04/2025 08:30,14/04/2025 09:00,0.5,Planned Maint.,Engine,Completed,,,W_Shop,,2025-04 (Apr),P2 - Medium,,April,2025
16/04/2025 10:50,WO-W_SHOP_100164,Genset-01,Generator- Megapower,Weekly Inspection,,20/04/2025,0.5,14/04/2025 13:30,14/04/2025 14:00,0.5,Planned Maint.,Engine,Completed,,,W_Shop,,2025-04 (Apr),P2 - Medium,,April,2025
16/04/2025 09:33,WO-W_SHOP_200061,ABB-FT-SPOOL_PIECE,"12"" PIG LAUNCHER (SPOOL PIECE  32"" LONG APPROX)",Surface Preparation & Recoating of five (5)12-inch Pig Launcher Spool Pieces,,22/04/2025,56,14/04/2025 10:00,,,Planned Corrective Maint.,Piping,In Progress,Corrosion,Coated,W_Shop,,2025-04 (Apr),P2 - Medium,,April,2025
15/04/2025 08:41,WO-CBM_200093,ABB-ME-SC-01,ABB Sierra chain & pickup line,Installation of cross over line from Sierra chain to stinger box,,13/04/2025,,13/04/2025 08:07,13/04/2025 08:44,0.616666667,Planned Corrective Maint.,Anchoring System,Completed,,,ABB_Offshore,DPR 2926,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:36,WO-SPM_100547,SPM-AE-BY-01,CALM Buoy - SO17190,SPM – Bi-annual Hose Flanges Cathodic Protection,,20/04/2025,1,,,,Planned Maint.,Cathodic Protection,Open,,,SPM_Offshore,,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:34,WO-SPM_100546,SPM-AE-BY-01,CALM Buoy - SO17190,SPM – Bi-annual PLEM Cathodic Protection,,20/04/2025,0.75,,,,Planned Maint.,Cathodic Protection,Open,,,SPM_Offshore,,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:31,WO-SPM_100545,SPM-AE-BY-01,CALM Buoy - SO17190,SPM – Bi-annual Buoy Cathodic Protection,,20/04/2025,1,,,,Planned Maint.,Cathodic Protection,Open,,,SPM_Offshore,,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:29,WO-SPM_100544,SPM-AE-BY-01,CALM Buoy - SO17190,SPM – Quarterly Anodes GVI,,20/04/2025,1.5,,,,Planned Maint.,Buoy Body,Open,,,SPM_Offshore,,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:26,WO-SPM_100543,SPM-AE-BY-01,CALM Buoy - SO17190,"SPM - Monthly Inspection of Mooring Bridle/Bridle 
Platform, Hawser & other Acc. GVI",,20/04/2025,1.5,14/04/2025 10:52,14/04/2025 11:30,0.633333333,Planned Maint.,Mooring System,Completed,,,SPM_Offshore,DPR 2927,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:23,WO-SPM_100542,SPM-AE-BY-01,CALM Buoy - SO17190,SPM - Quarterly MBC GVI,,20/04/2025,0.5,14/04/2025 11:30,14/04/2025 11:36,0.1,Planned Maint.,MBC,Completed,,,SPM_Offshore,DPR 2927,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:20,WO-SPM_100541,SPM-AE-BY-01,CALM Buoy - SO17190,SPM - Monthly Soundings,,20/04/2025,1.5,14/04/2025 11:30,14/04/2025 12:00,0.5,Planned Maint.,Buoy Body,Completed,,,SPM_Offshore,DPR 2927,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:18,WO-SPM_100540,SPM-AE-BY-01,CALM Buoy - SO17190,SPM – Weekly Solar Panels GVI and cleaning,,20/04/2025,0.33,14/04/2025 11:40,14/04/2025 12:00,0.333333333,Planned Maint.,NavAids & Power,Completed,,,SPM_Offshore,DPR 2927,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:16,WO-SPM_100539,SPM-AE-BY-01,CALM Buoy - SO17190,SPM – Weekly Main Bearing Greasing,,20/04/2025,1,14/04/2025 11:30,14/04/2025 12:00,0.5,Planned Maint.,Lubrication System,Completed,,,SPM_Offshore,DPR 2927,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:14,WO-SPM_100538,SPM-AE-BY-01,CALM Buoy - SO17190,SPM – Weekly Central Pipe Swivel Greasing and GVI,,20/04/2025,1,14/04/2025 11:30,14/04/2025 12:00,0.5,Planned Maint.,Swivel System,Completed,,,SPM_Offshore,DPR 2927,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:12,WO-SPM_100537,SPM-AE-BY-01,CALM Buoy - SO17190,SPM – Weekly Buoy Freeboard/Draft GVI,,20/04/2025,0.1667,14/04/2025 11:30,14/04/2025 11:40,0.166666667,Planned Maint.,Buoy Body,Completed,,,SPM_Offshore,DPR 2927,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 16:09,WO-SPM_100519,SPM-AE-BY-01,CALM Buoy - SO17190,SPM - Annual Main Bearing Axial Wear Measurement,,20/04/2025,,,,,Planned Maint.,Lubrication System,Open,,,SPM_Offshore,,2025-04 (Apr),P2 - Medium,,April,2025
14/04/2025 15:57,WO-CBM_100538,ABB,CMB System for Planned Maint.,ABB - Quarterly MATTHEW Buoy Body (Subsea ) GVI,,20/04/2025,0.25,,,,Planned Maint.,Buoy Body,Open,,,ABB_Offshore,,2025-04 (Apr),P2 - Medium,,April,2025
